#{"t_start": 1690643872.441415, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
205.0,2141,719.929987
190.0,2105,721.591965
215.0,1591,722.852937
210.0,2099,724.507848
230.0,2515,726.523371
620.0,4097,729.764607
335.0,3325,732.388131
105.0,1359,733.455693
220.0,2497,735.426422
135.0,1453,736.580252
195.0,2733,738.768482
75.0,1831,740.226549
290.0,2579,742.262278
195.0,2059,743.887806
255.0,2135,745.569152
195.0,1737,746.932878
545.0,2813,749.158255
185.0,1915,750.688936
135.0,1589,751.94464
190.0,1719,753.308534
455.0,4021,756.451313
220.0,2573,758.475662
250.0,1761,759.87229
350.0,2923,762.180743
300.0,3187,764.719949
370.0,3309,767.331932
350.0,3339,769.962775
440.0,2329,771.800421
230.0,2471,773.757133
235.0,1937,775.315435
175.0,1577,776.554739
800.0,4875,780.347417
85.0,1435,781.469886
205.0,1771,782.888385
335.0,2581,784.937426
255.0,2845,794.603667
145.0,1593,795.866798
225.0,2433,797.792509
150.0,2069,799.456832
145.0,2019,801.041376
150.0,1607,802.30574
305.0,2667,804.432954
395.0,3827,807.486311
425.0,3809,810.478227
190.0,2419,812.406467
120.0,2415,814.312218
590.0,3053,816.722045
195.0,1605,817.983898
395.0,4749,821.713858
170.0,1965,823.274972
285.0,2639,825.370052
290.0,2945,827.701825
210.0,2029,829.292669
300.0,2737,831.451508
300.0,2916,833.773899
185.0,2613,835.834899
75.0,1029,836.628443
210.0,2437,838.541962
260.0,2575,840.616212
135.0,2057,842.228425
170.0,1957,843.759854
420.0,3787,846.729169
575.0,4087,849.921717
295.0,2591,851.956884
600.0,3435,854.661738
365.0,4355,858.09699
690.0,3975,861.241162
315.0,3491,863.988703
120.0,2031,865.61499
185.0,2439,867.545743
290.0,2893,869.839683
135.0,1997,871.41903
240.0,2943,873.770076
300.0,3573,882.476277
105.0,1771,883.863684
485.0,3089,886.311449
155.0,1731,887.680585
165.0,1987,889.277006
765.0,3627,892.140876
150.0,2001,893.75298
260.0,2927,896.104052
180.0,1967,897.665761
335.0,3413,900.339697
685.0,3383,902.987242
390.0,2768,905.18903
310.0,2807,907.41526
185.0,2407,909.333531
360.0,3233,911.897457
790.0,6445,916.978176
360.0,2933,919.293215
165.0,1657,920.617442
60.0,1459,921.771141
290.0,2633,923.864073
205.0,2029,925.461677
210.0,1975,927.049954
165.0,2045,928.681505
275.0,2793,930.884226
225.0,2989,933.263512
150.0,2145,934.949809
255.0,2009,936.534232
215.0,1927,938.046827
140.0,1735,939.427674
265.0,2203,941.194809
240.0,2099,942.851803
215.0,1971,944.421983
405.0,3615,947.27604
170.0,1559,948.516178
